Date,Open,High,Low,Close,Volume
10-Mar-16,41.61,42.15,40.61,41.37,21139846
9-Mar-16,41.36,41.43,40.62,41.15,18569721
8-Mar-16,42.15,42.31,40.99,41.05,26122132
7-Mar-16,42.36,42.93,42.08,42.61,22119140
4-Mar-16,43.07,43.59,42.47,42.83,27910465
3-Mar-16,42.14,42.87,41.89,42.83,21818822
2-Mar-16,41.24,42.25,41.09,42.22,28389791
1-Mar-16,39.15,41.29,39.10,41.27,30582804
29-Feb-16,39.43,39.80,38.85,38.85,21976646
26-Feb-16,39.06,40.02,38.76,39.50,23744740
25-Feb-16,38.23,38.64,38.01,38.62,19883127
24-Feb-16,37.44,38.18,36.61,38.09,25817489
23-Feb-16,39.12,39.19,38.04,38.22,26123221
22-Feb-16,39.67,39.97,39.30,39.52,22009400
19-Feb-16,38.82,39.06,38.06,38.99,22356146
18-Feb-16,39.93,39.99,38.62,38.92,24088993
17-Feb-16,39.71,40.29,39.50,39.78,29116718
16-Feb-16,38.59,39.22,38.32,38.89,31650875
12-Feb-16,36.03,37.87,35.98,37.54,38066093
11-Feb-16,36.00,36.16,34.52,34.98,48780898
10-Feb-16,38.50,39.09,37.38,37.41,33335086
9-Feb-16,36.93,38.07,36.68,37.51,39530586
8-Feb-16,39.14,39.18,37.18,37.81,35172491
5-Feb-16,41.02,41.44,39.55,39.86,23521680
4-Feb-16,40.11,41.57,40.05,40.79,26738527
3-Feb-16,40.65,40.71,38.04,40.36,43666880
2-Feb-16,41.86,41.86,40.28,40.42,31327606
1-Feb-16,42.36,42.83,42.00,42.48,22025289
29-Jan-16,40.80,42.59,40.78,42.58,35881637
28-Jan-16,41.20,41.39,40.07,40.39,23189282
27-Jan-16,40.37,41.69,40.22,40.56,27667163
26-Jan-16,39.60,40.79,39.50,40.50,23494190
25-Jan-16,40.81,40.96,39.45,39.55,31843387
22-Jan-16,41.05,41.35,40.82,41.06,30155790
21-Jan-16,40.51,41.39,40.03,40.15,34924517
20-Jan-16,40.52,41.02,39.44,40.49,49862199
19-Jan-16,42.85,43.12,41.66,41.94,38499057
15-Jan-16,42.51,43.69,41.85,42.47,52373554
14-Jan-16,45.42,45.82,44.56,45.38,30006807
13-Jan-16,47.32,47.35,44.96,45.19,27815083
12-Jan-16,47.50,47.50,46.27,46.88,26309979
11-Jan-16,46.56,46.99,45.93,46.85,26284598
8-Jan-16,48.73,48.74,46.03,46.13,30642964
7-Jan-16,49.07,49.38,47.50,47.56,37902922
6-Jan-16,50.10,50.58,49.76,50.12,22501799
5-Jan-16,51.54,51.61,50.41,50.86,17444931
4-Jan-16,50.75,51.19,50.19,51.13,23401750
31-Dec-15,52.07,52.39,51.75,51.75,11281771
30-Dec-15,52.84,52.94,52.25,52.30,8763337
29-Dec-15,52.76,53.22,52.74,52.98,10155134
28-Dec-15,52.57,52.57,51.96,52.38,8761743
24-Dec-15,52.48,52.97,52.45,52.71,4671254
23-Dec-15,52.30,52.64,52.08,52.63,14950224
22-Dec-15,51.99,52.13,51.39,52.01,13241343
21-Dec-15,51.71,51.91,51.08,51.79,16928994
18-Dec-15,52.46,52.68,51.16,51.21,25509621
17-Dec-15,54.01,54.20,52.71,52.84,17179578
16-Dec-15,53.04,54.01,52.30,53.90,26044762
15-Dec-15,51.85,52.80,51.85,52.52,21642329
14-Dec-15,51.14,51.73,50.50,51.10,21540948
11-Dec-15,51.94,52.21,50.67,51.11,24093472
10-Dec-15,52.89,53.24,52.17,52.65,16333817
9-Dec-15,53.05,53.81,52.31,52.81,19903691
8-Dec-15,53.84,54.01,53.18,53.39,14785485
7-Dec-15,54.77,54.88,53.91,54.40,15077326
4-Dec-15,53.66,55.33,53.52,55.09,21464081
3-Dec-15,54.42,54.60,53.35,53.51,19749990
2-Dec-15,54.99,55.02,54.03,54.14,15288831
1-Dec-15,54.40,54.91,54.25,54.88,11856027
30-Nov-15,54.34,54.46,53.97,54.09,14603058
27-Nov-15,54.06,54.37,53.72,54.21,5483432
25-Nov-15,54.29,54.33,53.76,54.08,9859420
24-Nov-15,53.81,54.51,53.71,54.18,12950895
23-Nov-15,54.67,54.84,54.15,54.28,14547117
20-Nov-15,55.37,55.37,54.55,54.75,14895981
19-Nov-15,54.88,55.30,54.74,55.06,11997989
18-Nov-15,53.85,55.02,53.76,54.98,19100293
17-Nov-15,53.89,54.22,53.23,53.49,14845282
16-Nov-15,52.96,53.69,52.49,53.69,14896647
13-Nov-15,53.17,53.58,52.67,53.17,16828803
12-Nov-15,54.52,54.52,53.45,53.46,17734993
11-Nov-15,56.12,56.14,54.78,54.90,15834013
10-Nov-15,55.53,56.17,55.00,55.80,17657433
9-Nov-15,55.92,56.19,55.07,55.71,19921807
6-Nov-15,55.77,56.46,55.49,55.87,21654380
5-Nov-15,53.78,54.40,53.75,54.15,13632480
4-Nov-15,54.37,54.50,53.66,53.83,16985181
3-Nov-15,53.56,54.39,53.52,54.16,13518266
2-Nov-15,53.45,54.05,53.34,53.83,11999672
30-Oct-15,53.75,53.82,52.93,53.17,18430238
29-Oct-15,54.50,55.06,53.62,53.66,23153933
28-Oct-15,52.86,54.96,52.71,54.73,23403941
27-Oct-15,52.71,52.91,52.24,52.61,13232394
26-Oct-15,53.23,53.59,52.75,53.11,14530672
23-Oct-15,53.00,53.67,52.95,53.64,19927051
22-Oct-15,52.18,52.86,52.15,52.51,22320467
21-Oct-15,52.99,53.16,51.79,51.81,15829217
20-Oct-15,52.86,53.20,52.60,52.84,11195808
19-Oct-15,52.36,53.18,52.33,52.86,13616434
16-Oct-15,53.34,53.36,52.56,52.69,17569151
15-Oct-15,51.83,53.18,51.12,52.97,31023069
14-Oct-15,51.07,51.22,50.38,50.72,22288016
13-Oct-15,50.85,51.71,50.83,51.21,13337940
12-Oct-15,51.36,51.49,50.88,51.28,11187038
9-Oct-15,51.82,52.02,50.93,51.38,14341225
8-Oct-15,51.09,51.84,50.75,51.65,16903001
7-Oct-15,51.48,51.85,50.89,51.32,16606396
6-Oct-15,51.05,51.50,50.83,51.06,12582437
5-Oct-15,50.40,51.34,50.34,51.16,14881154
2-Oct-15,48.51,49.88,47.71,49.88,27320857
1-Oct-15,49.42,50.00,49.22,49.89,16291039
30-Sep-15,49.81,49.84,48.90,49.61,17628957
29-Sep-15,49.05,49.45,48.47,49.00,16485029
28-Sep-15,50.63,50.70,48.95,49.03,21919777
25-Sep-15,50.17,50.72,49.87,50.55,22341773
24-Sep-15,49.66,49.75,48.75,49.13,32241013
23-Sep-15,50.40,50.65,49.95,50.12,13680224
22-Sep-15,49.95,50.45,49.86,50.38,19610639
21-Sep-15,50.82,51.10,50.36,50.71,14917981
18-Sep-15,50.70,50.84,50.11,50.29,33404568
17-Sep-15,52.61,53.00,51.38,51.65,23844730
16-Sep-15,52.26,52.71,51.79,52.59,17360922
15-Sep-15,51.18,52.29,51.06,52.00,17858941
14-Sep-15,51.08,51.18,50.68,50.98,11426957
11-Sep-15,51.01,51.15,50.63,51.10,12001784
10-Sep-15,50.56,51.50,50.29,51.07,17457657
9-Sep-15,52.40,52.62,50.73,50.88,16853535
8-Sep-15,51.40,51.88,51.02,51.65,17136415
4-Sep-15,51.13,51.30,50.12,50.59,19042241
3-Sep-15,51.96,52.71,51.59,51.79,15706786
2-Sep-15,51.81,52.03,50.99,51.75,17442858
1-Sep-15,52.40,52.40,50.29,50.94,28592067
31-Aug-15,53.13,53.66,52.72,53.48,20008629
28-Aug-15,53.09,53.56,52.82,53.28,17159950
27-Aug-15,53.19,53.62,52.35,53.44,26394879
26-Aug-15,51.41,52.38,50.25,52.28,30504666
25-Aug-15,52.70,52.75,49.88,49.88,27522291
24-Aug-15,49.13,52.53,47.10,50.34,37048947
21-Aug-15,54.40,55.05,53.58,53.60,33365506
20-Aug-15,56.03,56.31,55.33,55.33,28388610
19-Aug-15,57.18,57.52,56.56,57.00,17673210
18-Aug-15,57.67,57.92,57.40,57.55,11593241
17-Aug-15,57.16,57.85,56.99,57.77,11140334
14-Aug-15,57.18,57.72,57.18,57.59,8864981
13-Aug-15,57.03,57.60,56.50,57.33,15837852
12-Aug-15,56.94,57.24,55.31,56.91,27569091
11-Aug-15,58.01,58.25,57.24,57.64,18897619
10-Aug-15,58.26,58.84,58.21,58.74,10812191
7-Aug-15,58.18,58.61,57.44,57.91,11933951
6-Aug-15,58.82,58.96,57.90,58.10,14707408
5-Aug-15,58.94,59.25,58.60,58.74,10630976
4-Aug-15,58.37,58.87,58.29,58.47,10984522
3-Aug-15,58.62,58.67,57.95,58.44,10508705
31-Jul-15,58.79,58.84,58.37,58.46,12529315
30-Jul-15,58.73,59.05,58.30,58.88,11202069
29-Jul-15,58.56,59.15,58.43,58.92,14460768
28-Jul-15,58.45,58.50,57.78,58.37,12566708
27-Jul-15,57.90,58.33,57.43,57.96,20378381
24-Jul-15,59.70,59.77,58.33,58.70,24760756
23-Jul-15,60.29,60.95,59.73,59.87,29432315
22-Jul-15,59.12,60.53,59.03,60.34,30156194
21-Jul-15,58.80,59.31,58.80,59.10,21541708
20-Jul-15,58.96,59.30,58.63,58.85,16016635
17-Jul-15,58.53,58.89,58.34,58.75,21055333
16-Jul-15,57.90,58.65,57.71,58.59,41084043
15-Jul-15,56.26,56.79,55.95,56.46,20470527
14-Jul-15,55.37,56.12,55.24,55.91,18174852
13-Jul-15,55.04,55.69,55.04,55.54,18803919
10-Jul-15,54.55,54.79,53.71,54.56,16578662
9-Jul-15,53.84,54.15,53.60,53.71,23540424
8-Jul-15,53.81,53.81,52.77,52.80,26169423
7-Jul-15,54.97,55.05,53.03,54.50,32011242
6-Jul-15,54.79,55.25,54.50,55.08,12706190
2-Jul-15,55.43,55.85,55.07,55.37,12062781
1-Jul-15,56.01,56.01,55.24,55.68,17606104
30-Jun-15,55.52,55.68,54.80,55.24,17737444
29-Jun-15,55.04,55.62,54.85,54.88,22260419
26-Jun-15,56.47,56.65,56.10,56.34,12148270
25-Jun-15,56.99,57.06,56.18,56.19,12176170
24-Jun-15,56.66,56.99,56.50,56.66,19235533
23-Jun-15,57.28,57.64,57.12,57.39,16216064
22-Jun-15,56.86,57.21,56.76,56.95,13011615
19-Jun-15,56.51,56.81,56.17,56.23,18840468
18-Jun-15,56.66,56.88,55.98,56.76,18739307
17-Jun-15,57.07,57.15,56.38,56.54,17801874
16-Jun-15,56.52,57.13,56.36,57.07,13563808
15-Jun-15,56.62,56.94,56.11,56.65,17698443
12-Jun-15,57.01,57.25,56.67,57.11,13860635
11-Jun-15,57.20,57.50,56.93,57.21,19187109
10-Jun-15,56.27,57.21,56.18,57.02,21275642
9-Jun-15,55.57,56.36,55.22,56.00,15193141
8-Jun-15,56.25,56.50,55.65,55.65,14961647
5-Jun-15,56.02,56.58,55.84,56.24,26500448
4-Jun-15,55.45,56.00,55.16,55.33,18517634
3-Jun-15,55.04,56.02,55.01,55.63,21240463
2-Jun-15,54.40,55.02,54.13,54.72,17765569
1-Jun-15,54.68,55.04,54.44,54.45,18156312
29-May-15,54.46,54.49,53.87,54.08,13841381
28-May-15,54.82,54.82,54.22,54.55,13381912
27-May-15,54.34,54.98,54.20,54.87,13699424
26-May-15,54.75,54.84,54.01,54.24,16564517
22-May-15,54.78,55.33,54.68,54.97,12652016
21-May-15,54.69,55.10,54.61,54.84,11799919
20-May-15,55.27,55.30,54.74,54.89,13955559
19-May-15,54.79,55.37,54.75,55.33,18207423
18-May-15,54.19,54.90,54.17,54.67,11717553
15-May-15,54.59,54.61,54.03,54.24,10378117
14-May-15,54.43,54.73,54.33,54.60,14250782
13-May-15,53.72,54.36,53.48,54.20,15810396
12-May-15,53.67,53.98,53.23,53.74,13336881
11-May-15,53.92,54.16,53.80,53.97,13896756
8-May-15,53.55,54.11,53.30,54.02,17333515
7-May-15,52.59,53.44,52.41,53.31,14954178
6-May-15,53.56,53.90,52.35,52.82,19414806
5-May-15,53.99,54.30,53.25,53.35,20669083
4-May-15,53.85,54.26,53.74,54.17,15670096
1-May-15,53.64,53.84,53.31,53.76,13148680
30-Apr-15,53.75,53.97,52.92,53.32,19420556
29-Apr-15,52.65,53.99,52.61,53.76,22542387
28-Apr-15,52.67,53.10,52.25,53.02,14134525
27-Apr-15,52.88,53.39,52.78,52.80,15613029
24-Apr-15,53.16,53.22,52.85,52.90,10150537
23-Apr-15,53.01,53.40,52.82,53.22,13049573
22-Apr-15,52.52,53.38,52.35,53.10,14873394
21-Apr-15,53.35,53.46,52.25,52.48,19554373
20-Apr-15,53.30,53.57,53.09,53.20,14729995
17-Apr-15,53.51,54.10,52.95,53.07,23286981
16-Apr-15,53.98,54.46,53.80,54.02,38345622
15-Apr-15,52.93,53.38,52.75,53.21,19041097
14-Apr-15,52.93,53.00,52.38,52.73,13259731
13-Apr-15,52.48,52.95,52.41,52.66,11984406
