Date,Open,High,Low,Close,Volume
10-Mar-16,30.17,30.29,29.79,29.94,33147925
9-Mar-16,30.16,30.20,29.97,30.05,24818350
8-Mar-16,30.08,30.22,29.97,30.06,30547066
7-Mar-16,30.26,30.45,30.13,30.29,26227191
4-Mar-16,30.22,30.59,30.22,30.46,33027711
3-Mar-16,30.20,30.40,30.06,30.22,27970366
2-Mar-16,29.78,30.18,29.76,30.18,36453903
1-Mar-16,29.41,29.97,29.31,29.88,32307292
29-Feb-16,29.44,29.55,29.12,29.14,33851684
26-Feb-16,29.30,29.56,29.29,29.40,29340420
25-Feb-16,28.80,29.28,28.78,29.23,35694908
24-Feb-16,28.90,29.05,28.40,28.96,44558579
23-Feb-16,29.21,29.36,29.08,29.22,30917167
22-Feb-16,29.25,29.48,29.20,29.41,37775529
19-Feb-16,28.94,29.13,28.68,29.02,35725688
18-Feb-16,29.30,29.34,28.99,29.08,30866827
17-Feb-16,29.14,29.61,29.12,29.34,38209394
16-Feb-16,28.58,29.03,28.42,28.86,46848592
12-Feb-16,27.57,28.26,27.36,28.26,57524722
11-Feb-16,27.75,28.03,27.10,27.45,80193735
10-Feb-16,28.37,28.70,28.25,28.30,31774744
9-Feb-16,27.75,28.54,27.75,28.28,36570398
8-Feb-16,28.22,28.27,27.76,28.17,47343080
5-Feb-16,29.15,29.20,28.30,28.54,51732948
4-Feb-16,28.65,29.46,28.49,29.18,53809002
3-Feb-16,28.39,28.69,27.87,28.67,44163305
2-Feb-16,28.27,28.29,27.92,28.24,39975038
1-Feb-16,29.01,29.03,28.56,28.64,43418683
29-Jan-16,28.46,29.11,28.34,29.10,50076355
28-Jan-16,28.22,28.35,27.93,28.21,40051317
27-Jan-16,28.20,28.58,27.82,28.00,45746979
26-Jan-16,28.07,28.54,28.05,28.31,42418331
25-Jan-16,28.32,28.49,28.00,28.04,44676819
22-Jan-16,28.55,28.56,27.71,28.24,87629261
21-Jan-16,28.13,28.99,28.13,28.59,55980752
20-Jan-16,27.93,28.43,27.48,28.00,84384809
19-Jan-16,28.72,28.89,28.20,28.49,51404018
