Date,Open,High,Low,Close,Volume
10-Mar-16,119.91,120.86,118.66,119.98,6171581
9-Mar-16,119.24,120.20,118.46,119.64,6424249
8-Mar-16,116.21,119.08,116.21,118.42,6221599
7-Mar-16,117.03,117.57,116.12,117.15,5635944
4-Mar-16,116.72,117.45,115.90,117.18,5834292
3-Mar-16,117.48,117.48,115.32,116.69,9128701
2-Mar-16,118.56,118.73,117.66,118.48,4263799
1-Mar-16,117.91,119.19,117.77,118.85,4731139
29-Feb-16,116.80,118.36,116.71,117.19,6265988
26-Feb-16,117.98,118.27,116.17,117.06,5190277
25-Feb-16,117.43,118.50,117.16,118.37,6032129
24-Feb-16,116.32,117.33,115.80,117.06,5346989
23-Feb-16,117.35,118.15,116.85,116.90,5245846
22-Feb-16,117.33,118.16,116.87,117.67,6187593
19-Feb-16,117.00,117.35,115.81,116.53,10744738
18-Feb-16,118.81,119.46,116.93,117.17,9704961
17-Feb-16,119.18,119.40,116.72,118.64,12717518
16-Feb-16,118.42,119.18,117.60,119.18,10510953
12-Feb-16,116.72,118.33,116.10,117.93,8534917
11-Feb-16,115.74,117.50,115.69,116.73,7523670
10-Feb-16,118.02,118.53,117.26,117.54,5716552
9-Feb-16,115.54,117.80,115.35,117.01,7496672
8-Feb-16,114.05,116.36,112.71,116.05,11299518
5-Feb-16,120.65,120.65,114.96,115.40,13222990
4-Feb-16,121.04,121.24,118.72,120.66,7577192
3-Feb-16,124.36,124.58,120.84,121.47,9289788
2-Feb-16,124.05,124.34,123.10,123.95,7633214
1-Feb-16,123.08,124.83,123.02,124.61,6186614
29-Jan-16,122.77,124.35,122.75,123.78,10321219
28-Jan-16,121.10,122.60,120.20,122.38,7456467
27-Jan-16,120.88,121.62,119.83,120.87,7081277
26-Jan-16,119.60,121.30,119.00,120.43,8275222
25-Jan-16,121.85,121.90,118.20,119.20,15108925
22-Jan-16,118.44,118.75,117.37,118.40,9005647
21-Jan-16,116.51,118.44,115.79,117.84,9826175
20-Jan-16,116.97,118.00,114.38,115.78,11903252
19-Jan-16,116.63,117.71,115.96,117.50,9120214
15-Jan-16,114.26,116.45,114.21,115.18,10148438
14-Jan-16,115.59,117.13,113.00,116.62,9055005
13-Jan-16,117.69,117.87,115.08,115.12,6956724
12-Jan-16,117.03,117.74,116.17,117.44,5639728
11-Jan-16,115.65,117.06,115.58,116.69,6392820
8-Jan-16,115.75,117.47,115.26,115.48,6103431
7-Jan-16,117.44,117.97,115.59,115.66,7477876
6-Jan-16,118.00,119.27,117.81,118.40,6543760
5-Jan-16,117.41,119.23,117.29,119.20,6314015
4-Jan-16,117.25,117.73,115.87,117.58,9694609
31-Dec-15,118.82,119.18,117.94,118.14,3723186
30-Dec-15,119.64,119.99,119.22,119.43,2400802
29-Dec-15,119.00,120.23,118.82,120.07,3213942
28-Dec-15,118.10,118.90,118.05,118.75,2777327
24-Dec-15,118.75,118.99,118.50,118.57,1659340
23-Dec-15,118.02,118.85,117.75,118.80,3641874
22-Dec-15,117.96,118.04,116.64,117.72,4091991
21-Dec-15,116.96,117.74,116.61,117.69,3344606
18-Dec-15,116.74,117.28,115.89,116.66,11238875
17-Dec-15,118.34,118.90,117.49,117.50,5275921
16-Dec-15,117.49,118.75,116.49,117.84,6306287
15-Dec-15,117.50,118.24,116.84,116.93,6118270
14-Dec-15,116.17,117.07,114.65,116.26,7642742
11-Dec-15,115.86,116.61,115.62,116.08,5736380
10-Dec-15,116.61,117.51,116.20,117.20,5299897
9-Dec-15,116.21,117.30,115.90,116.58,7604711
8-Dec-15,115.95,116.86,115.26,116.53,4814227
7-Dec-15,115.81,116.51,115.75,116.42,4810666
4-Dec-15,113.75,116.39,113.42,116.20,7778164
3-Dec-15,113.61,114.44,112.91,113.39,6558595
2-Dec-15,114.10,114.27,113.45,113.72,5692204
1-Dec-15,114.52,114.93,113.79,114.45,5321941
30-Nov-15,114.38,114.49,113.56,114.16,7872034
27-Nov-15,113.71,114.39,113.53,114.23,2763685
25-Nov-15,114.27,114.92,113.95,114.40,7477153
24-Nov-15,113.90,114.56,113.36,114.28,6047679
23-Nov-15,114.01,114.90,113.91,114.47,4968405
20-Nov-15,113.36,114.17,113.19,113.91,6659387
19-Nov-15,112.53,113.71,112.30,113.30,5323499
18-Nov-15,111.30,112.59,110.84,112.53,5194490
17-Nov-15,111.04,111.82,110.46,110.94,6027620
16-Nov-15,109.85,111.06,109.60,111.06,6731754
13-Nov-15,111.85,112.36,109.91,109.97,8602406
12-Nov-15,113.50,113.74,112.06,112.11,5893840
11-Nov-15,113.67,114.43,113.54,113.85,8396833
10-Nov-15,112.77,114.99,110.75,113.22,12716508
9-Nov-15,113.45,113.48,112.40,112.93,8423804
6-Nov-15,112.40,113.44,112.16,113.31,4615631
5-Nov-15,112.60,113.45,112.15,112.85,5059117
