Date,Open,High,Low,Close,Volume
10-Mar-16,58.70,59.04,57.97,58.88,9402576
9-Mar-16,59.58,59.62,57.95,58.33,12758395
8-Mar-16,59.03,60.60,58.71,59.81,9280816
7-Mar-16,61.07,61.14,58.79,59.25,12820353
4-Mar-16,61.42,61.54,60.38,61.26,7278258
3-Mar-16,62.05,62.20,60.92,61.47,7923058
2-Mar-16,62.52,62.89,61.50,62.22,8455663
1-Mar-16,61.97,63.10,61.75,62.92,7417685
29-Feb-16,62.46,62.68,61.58,61.59,7705423
26-Feb-16,62.64,63.49,62.47,62.60,8884838
25-Feb-16,60.68,62.38,60.63,62.38,8296353
24-Feb-16,59.74,60.70,59.20,60.40,10382475
23-Feb-16,60.26,60.74,59.89,60.21,7467312
22-Feb-16,59.65,60.48,59.26,60.17,10692010
19-Feb-16,58.50,59.31,57.63,59.31,10021123
18-Feb-16,58.17,58.96,57.98,58.60,9658595
17-Feb-16,58.60,58.60,57.10,58.17,10315424
16-Feb-16,57.57,58.00,56.82,57.79,8005938
12-Feb-16,57.37,57.45,55.50,56.42,10215294
11-Feb-16,56.46,56.91,55.39,56.00,13027175
10-Feb-16,56.54,58.18,55.93,57.41,13373823
9-Feb-16,54.50,56.62,54.28,55.68,10718112
8-Feb-16,56.10,56.21,53.64,55.04,21186545
5-Feb-16,59.76,59.84,56.98,57.17,14415858
4-Feb-16,62.02,62.16,59.99,60.17,10417579
3-Feb-16,62.88,62.90,61.30,62.49,7213285
2-Feb-16,63.02,63.50,62.31,62.55,9161614
1-Feb-16,61.75,63.47,61.70,63.16,8176628
29-Jan-16,61.20,62.16,61.20,62.01,10420337
28-Jan-16,60.32,61.60,59.98,61.20,10202437
27-Jan-16,60.96,61.10,59.20,59.58,8554058
26-Jan-16,60.49,61.37,60.27,61.11,7999028
25-Jan-16,61.09,61.30,60.62,60.70,10360004
22-Jan-16,61.29,61.47,60.59,60.88,8242169
21-Jan-16,59.08,61.16,59.06,60.56,16117707
20-Jan-16,57.25,59.59,56.75,59.04,16230430
19-Jan-16,58.19,59.07,57.67,58.32,9351884
15-Jan-16,56.93,58.14,56.59,57.56,12163037
14-Jan-16,59.00,59.35,57.28,58.51,9900907
13-Jan-16,60.53,60.53,58.67,58.78,9900529
12-Jan-16,60.35,60.82,59.57,59.94,8292167
11-Jan-16,58.97,60.04,58.54,59.55,12824968
8-Jan-16,60.06,60.79,58.66,58.87,11191253
7-Jan-16,60.39,61.26,59.78,59.85,10881313
6-Jan-16,61.30,62.04,61.15,61.49,6551556
5-Jan-16,61.72,62.59,61.72,62.38,9220645
4-Jan-16,61.11,61.91,60.86,61.52,11575890
31-Dec-15,63.15,63.17,62.50,62.50,6454656
30-Dec-15,64.36,64.40,63.17,63.25,5817947
29-Dec-15,64.31,64.48,64.02,64.26,6708638
