EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=3600
COLUMNS=DATE,CLOSE,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1454943600,94.535,93.13,7619792
1,94.03,94.52,8203554
2,94.48,94.04,5790165
3,94.24,94.48,4573677
4,93.78,94.235,4113959
5,93.6099,93.77,5653837
6,95.01,93.6042,13542215
24,94.8,94.29,5845521
25,94.23,94.7999,7372846
26,94.6832,94.23,4876430
27,94.64,94.69,3339157
28,94.75,94.63,3838697
29,95.64,94.75,6189585
30,94.99,95.65,8397241
48,96.18,95.92,4394112
49,95.3766,96.19,6876339
50,95.28,95.38,4980402
51,95.61,95.28,3999920
52,95.16,95.615,3458725
53,94.851,95.17,5887241
54,94.27,94.86,8831911
72,94.14,93.79,5951936
73,93.12,94.148,8517897
74,93.18,93.12,5917923
75,93.45,93.18,3923829
76,93.15,93.47,3764740
77,93.89,93.155,6468712
78,93.7,93.89,10514042
96,93.23,94.19,4871859
97,93.25,93.2317,6440815
98,93.97,93.25,5962075
99,93.74,93.98,2809174
100,93.45,93.74,3196520
101,93.8699,93.46,4091280
102,93.99,93.87,9193530
192,95.16,95.02,5940734
193,95.25,95.16,6025598
194,95.7499,95.25,4807938
195,96.038,95.75,5293152
196,96.2901,96.04,4499122
197,96.51,96.295,5707258
198,96.64,96.51,11530755
216,96.835,96.67,6361816
217,97.0699,96.84,7222206
218,97,97.06,4997301
219,97.7099,97,4584550
220,97.68,97.7,3123212
221,97.84,97.673,4714939
222,98.12,97.85,9565202
240,97.6,98.84,4516319
241,96.95,97.6,6286877
242,97.0999,96.94,3716608
243,96.768,97.09,3684667
244,96.69,96.76,3070524
245,96.82,96.69,2626740
246,96.26,96.825,8488071
264,96.09,96,5898035
265,96.34,96.1,5078842
266,96.26,96.34,3990877
267,96.13,96.2601,2015237
268,96.2637,96.14,2332855
269,96,96.26,2895566
270,96.04,96.01,7042875
336,96.58,96.31,5177951
337,96.27,96.59,5023958
338,96.22,96.27,3997500
339,96.03,96.22,2895547
340,96.47,96.03,3052162
341,96.62,96.48,4474370
342,96.88,96.62,6642182
360,96.16,96.4,2903508
361,95.265,96.17,5716591
362,95.32,95.26,3542013
363,95.29,95.32,1629099
364,95.14,95.28,2391014
365,94.93,95.14,2595747
366,94.69,94.925,9220564
384,93.52,93.98,4513889
385,94.12,93.53,5386330
386,94.23,94.13,3212778
387,94.76,94.24,2944123
388,95.01,94.7672,3736930
389,95.73,95.0248,3702946
390,96.1,95.73,7720579
408,95.52,96.05,3949482
409,96.01,95.515,4177036
410,95.83,96,3032453
411,95.73,95.83,1897445
412,96.3099,95.73,2594844
413,95.98,96.28,2302847
414,96.76,95.97,6286303
432,97.49,97.2,4204506
433,97.68,97.49,4435285
434,97.38,97.67,4392877
435,97.11,97.3866,2847885
436,96.8836,97.0975,2752565
437,96.725,96.89,2316059
438,96.91,96.73,5356042
504,97.57,96.86,3981513
505,97.86,97.57,3329709
506,98.005,97.87,3599333
507,97.91,98.005,2758637
508,97.7,97.91,2434726
509,97.33,97.7,3159249
510,96.69,97.3267,10322973
528,97.98,97.65,4626985
529,98.71,97.99,6859667
530,99.905,98.71,7608387
531,100.254,99.91,7175956
532,100.29,100.2564,6388956
533,100.68,100.29,4513019
534,100.53,100.6858,4179307
552,100.1864,100.51,4686163
553,100.31,100.1863,6582129
554,99.94,100.32,3731197
555,100.09,99.94,3052892
556,99.93,100.1,1937698
557,100.36,99.93,3527226
558,100.75,100.36,6722195
576,101.28,100.58,4201746
577,101.25,101.2723,6872081
578,100.83,101.2563,5220952
579,100.89,100.83,3085677
580,101.3,100.89,2962767
581,101.45,101.2941,2714779
582,101.5,101.4501,6550194
600,101.8,102.37,5600682
601,102.588,101.79,6070958
602,102.97,102.59,6613077
603,103.38,102.97,4775557
604,103.536,103.38,4556284
605,102.74,103.54,5594248
606,103.01,102.75,8318958
EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=3600
COLUMNS=DATE,CLOSE,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1454943600,94.535,93.13,7619792
1,94.03,94.52,8203554
2,94.48,94.04,5790165
3,94.24,94.48,4573677
4,93.78,94.235,4113959
5,93.6099,93.77,5653837
6,95.01,93.6042,13542215
24,94.8,94.29,5845521
25,94.23,94.7999,7372846
26,94.6832,94.23,4876430
27,94.64,94.69,3339157
28,94.75,94.63,3838697
29,95.64,94.75,6189585
30,94.99,95.65,8397241
48,96.18,95.92,4394112
49,95.3766,96.19,6876339
50,95.28,95.38,4980402
51,95.61,95.28,3999920
52,95.16,95.615,3458725
53,94.851,95.17,5887241
54,94.27,94.86,8831911
72,94.14,93.79,5951936
73,93.12,94.148,8517897
74,93.18,93.12,5917923
75,93.45,93.18,3923829
76,93.15,93.47,3764740
77,93.89,93.155,6468712
78,93.7,93.89,10514042
96,93.23,94.19,4871859
97,93.25,93.2317,6440815
98,93.97,93.25,5962075
99,93.74,93.98,2809174
100,93.45,93.74,3196520
101,93.8699,93.46,4091280
102,93.99,93.87,9193530
192,95.16,95.02,5940734
193,95.25,95.16,6025598
194,95.7499,95.25,4807938
195,96.038,95.75,5293152
196,96.2901,96.04,4499122
197,96.51,96.295,5707258
198,96.64,96.51,11530755
216,96.835,96.67,6361816
217,97.0699,96.84,7222206
218,97,97.06,4997301
219,97.7099,97,4584550
220,97.68,97.7,3123212
221,97.84,97.673,4714939
222,98.12,97.85,9565202
240,97.6,98.84,4516319
241,96.95,97.6,6286877
242,97.0999,96.94,3716608
243,96.768,97.09,3684667
244,96.69,96.76,3070524
245,96.82,96.69,2626740
246,96.26,96.825,8488071
264,96.09,96,5898035
265,96.34,96.1,5078842
266,96.26,96.34,3990877
267,96.13,96.2601,2015237
268,96.2637,96.14,2332855
269,96,96.26,2895566
270,96.04,96.01,7042875
336,96.58,96.31,5177951
337,96.27,96.59,5023958
338,96.22,96.27,3997500
339,96.03,96.22,2895547
340,96.47,96.03,3052162
341,96.62,96.48,4474370
342,96.88,96.62,6642182
360,96.16,96.4,2903508
361,95.265,96.17,5716591
362,95.32,95.26,3542013
363,95.29,95.32,1629099
364,95.14,95.28,2391014
365,94.93,95.14,2595747
366,94.69,94.925,9220564
384,93.52,93.98,4513889
385,94.12,93.53,5386330
386,94.23,94.13,3212778
387,94.76,94.24,2944123
388,95.01,94.7672,3736930
389,95.73,95.0248,3702946
