EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=3600
COLUMNS=DATE,CLOSE,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1454943600,12.28,12.67,30244529
1,12.235,12.2899,38204550
2,12.3,12.25,32831159
3,12.26,12.295,19319120
4,12.17,12.26,16204481
5,12.2,12.175,20724250
6,12.2799,12.195,40066646
24,12.265,11.99,37732353
25,12.185,12.2675,41320945
26,12.245,12.185,27543238
27,12.205,12.2401,17462404
28,12.165,12.205,16646375
29,12.245,12.165,38794047
30,12.195,12.25,50433439
48,12.355,12.42,25326140
49,12.23,12.36,35678083
50,12.195,12.2201,27478469
51,12.2315,12.2,17103632
52,12.13,12.2399,19061242
53,12.09,12.13,15212107
54,11.9299,12.1,46501208
72,11.4225,11.46,45427310
73,11.285,11.42,51036978
74,11.135,11.2817,48656827
75,11.1499,11.13,36402216
76,11.145,11.15,46948642
77,11.2499,11.145,57875991
78,11.15,11.245,64041173
96,11.455,11.48,39436435
97,11.5499,11.455,54189550
98,11.88,11.545,37306519
99,11.9,11.88,25443767
100,11.77,11.89,19302729
101,11.94,11.7657,16612354
102,11.94,11.935,30530001
192,12.28,12.38,34627829
193,12.28,12.2785,27206756
194,12.195,12.28,23233877
195,12.155,12.1971,18553921
196,12.28,12.1557,21806287
197,12.265,12.28,19951056
198,12.24,12.2669,25336077
216,12.575,12.57,31170602
217,12.57,12.575,30548709
218,12.56,12.575,30197176
219,12.61,12.56,14589893
220,12.5575,12.61,11783151
221,12.575,12.55,20998683
222,12.58,12.58,50004253
240,12.475,12.71,22458312
241,12.32,12.475,23761922
242,12.255,12.32,19860184
243,12.2,12.26,13609105
244,12.12,12.2099,14796016
245,12.265,12.12,16558671
246,12.22,12.265,27142253
264,12.04,12.22,21884674
265,12.05,12.04,23343225
266,12.1099,12.045,18263673
267,12.13,12.11,11733400
268,12.12,12.13,8904185
269,12.09,12.11,10136608
270,12.12,12.1,19594035
336,12.405,12.38,14444900
337,12.416,12.4043,14199460
338,12.49,12.4138,9686852
339,12.4299,12.49,7000705
340,12.485,12.425,5959139
341,12.455,12.48,6837321
342,12.535,12.46,18253805
360,12.325,12.47,13696478
361,12.155,12.32,18757384
362,12.1899,12.155,14855783
363,12.145,12.185,10382634
364,12.11,12.145,9367397
365,12.185,12.115,11127877
366,12.17,12.185,18626769
384,11.8,11.96,22047203
385,11.7851,11.8,42197439
386,11.8799,11.7801,21161671
387,11.855,11.872,12182105
388,11.89,11.86,13536229
389,12.02,11.8964,13191729
390,12.12,12.01,23006999
408,12.189,12.14,15649106
409,12.1562,12.18,19421841
410,12.17,12.15,11345860
411,12.135,12.17,8258506
412,12.28,12.1399,13816767
413,12.26,12.29,8832416
414,12.3148,12.26,16850389
432,12.4501,12.49,14489897
433,12.78,12.45,40320810
434,12.94,12.77,34723376
435,12.885,12.9357,11994114
436,12.805,12.89,11188066
437,12.69,12.81,12807586
438,12.7,12.695,21235606
504,12.675,12.7,21177648
505,12.705,12.675,21481608
506,12.775,12.71,13402981
507,12.805,12.775,8041744
508,12.78,12.8,5842247
509,12.625,12.7799,11450764
510,12.53,12.625,26070287
528,12.715,12.64,15072330
529,12.875,12.72,23057560
530,13.2,12.87,25184007
531,13.16,13.2,18497855
532,13.08,13.165,13330846
533,13.1501,13.085,19235074
534,13.171,13.15,28760651
552,13.28,13.2,21967884
553,13.42,13.2801,31226006
554,13.31,13.4299,20164031
555,13.3,13.31,9210485
556,13.265,13.3,6659801
557,13.365,13.265,19620158
558,13.4,13.365,21738626
576,13.32,13.38,12677985
577,13.495,13.32,20149210
578,13.51,13.4934,17700725
579,13.42,13.5049,10661094
580,13.49,13.4141,8949101
581,13.49,13.5,9261625
582,13.4899,13.49,16898199
600,13.58,13.76,31878959
601,13.68,13.5771,27251552
602,13.75,13.68,19295733
603,13.685,13.75,14931672
604,13.72,13.685,17133301
605,13.5201,13.72,20406052
606,13.53,13.53,25713332
