EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=3600
COLUMNS=DATE,CLOSE,OPEN,VOLUME
DATA=
EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=3600
COLUMNS=DATE,CLOSE,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1454943600,38.025,39.14,5416453
1,38.13,38.02,4178421
2,38.28,38.13,3103117
3,37.891,38.27,2886576
4,37.39,37.89,4265090
5,37.4199,37.38,4673387
6,37.81,37.41,7383404
24,37.59,36.93,5062746
25,37,37.585,5571129
26,37.47,37.0057,4006318
27,37.18,37.475,3416824
28,36.92,37.18,3782800
29,37.58,36.92,5718411
30,37.52,37.59,7155824
48,38.59,38.5,5423320
49,37.9699,38.6,5711784
50,37.85,37.97,3175820
51,38.2,37.86,2295486
52,38.01,38.21,1843182
53,37.84,38.01,2874851
54,37.41,37.85,7749077
72,35.8,36,6753160
73,35.4301,35.8,6021525
74,35.12,35.44,5665942
75,35.095,35.12,3197785
76,35.08,35.08,3912497
77,35.2061,35.09,7126628
78,34.95,35.2,11238983
96,36.304,36.03,6450466
97,36.86,36.31,5474358
98,37.49,36.86,5388388
99,37.42,37.49,3727784
100,36.99,37.415,4165944
101,37.365,37,3246350
102,37.54,37.36,6098751
192,38.63,38.59,5980925
193,38.56,38.63,5428123
194,38.545,38.56,3243805
195,39.0253,38.55,3237720
196,39.18,39.02,2562369
197,38.99,39.18,2317339
198,38.9,39,3967364
216,39.88,39.71,4357295
217,40.04,39.9,5228052
218,39.99,40.04,4158523
219,39.99,40,2432628
220,39.82,39.99,2120177
221,39.67,39.82,2728322
222,39.78,39.68,5175081
240,39.41,39.93,3010826
241,39.12,39.41,3406421
242,38.87,39.115,2703771
243,38.92,38.87,1967831
244,38.7799,38.92,2681059
245,38.98,38.78,2827606
246,38.9101,38.985,5041508
264,38.28,38.82,3783171
265,38.465,38.27,3186336
266,38.83,38.455,3342349
267,38.95,38.83,1756181
268,38.92,38.955,1558670
269,38.94,38.92,1976602
270,38.99,38.95,3457300
336,39.74,39.67,3018159
337,39.65,39.74,2919522
338,39.59,39.65,2367897
339,39.405,39.59,1992684
340,39.485,39.4,1817429
341,39.36,39.485,1527847
342,39.53,39.36,4577151
360,38.6,39.12,4808415
361,38.4,38.58,3828547
362,38.3085,38.4,3174718
363,38.23,38.3,2335375
364,38.29,38.23,1685967
365,38.2701,38.285,2605364
366,38.22,38.275,5215761
384,36.8,37.44,4173637
385,36.93,36.805,4591599
386,37.26,36.94,3208798
387,37.27,37.27,3056082
388,37.465,37.275,2326258
389,37.7799,37.46,2303073
390,38.07,37.78,4364862
408,38.37,38.23,2513696
409,38.27,38.36,2492346
410,38.24,38.2635,2076704
411,38.09,38.2399,1528167
412,38.5349,38.09,3906290
413,38.41,38.54,1541588
414,38.62,38.405,3204153
432,38.995,39.06,2501972
433,39.6354,38.99,4090459
434,39.82,39.64,3509898
435,39.875,39.82,2155736
436,39.685,39.88,2765343
437,39.38,39.69,2669118
438,39.5,39.39,3789880
504,39.35,39.43,2930801
505,39.23,39.36,2605998
506,39.6,39.23,2497419
507,39.745,39.6,1777321
508,39.61,39.743,1929567
509,39.12,39.6,2046136
510,38.85,39.115,4322842
528,39.27,39.15,2398516
529,39.96,39.28,4865094
530,40.93,39.955,4740566
531,40.97,40.93,3505685
532,40.84,40.96,2519994
533,41.1,40.84,2519954
534,41.28,41.09,6557396
552,41.62,41.24,3966548
553,42.02,41.62,5115928
554,41.78,42.03,3410374
555,41.9,41.78,2298190
556,41.76,41.9,2035724
557,42.02,41.76,2405046
558,42.23,42.02,4417498
576,42.13,42.14,2840801
577,42.46,42.13,3722565
578,42.4,42.46,2931968
579,42.2699,42.41,1667160
580,42.6,42.27,2000707
581,42.63,42.61,2184900
582,42.84,42.64,4691734
600,42.94,43.07,4385191
601,43.36,42.95,3699165
602,43.47,43.3579,3269641
603,43.28,43.465,2956130
604,43.41,43.28,2431934
605,42.6,43.415,3723926
606,42.83,42.6,5022111
