EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=3600
COLUMNS=DATE,CLOSE,OPEN,VOLUME
DATA=
EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=3600
COLUMNS=DATE,CLOSE,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1454943600,27.97,28.22,7343215
1,27.91,27.9625,7066749
2,27.92,27.91,6111409
3,27.9454,27.925,2904047
4,27.815,27.945,3304656
5,27.8699,27.81,2951129
6,28.15,27.865,10505815
24,27.96,27.75,5321589
25,28.02,27.9641,5621424
26,28.135,28.02,4097883
27,28.04,28.1301,3390374
28,28.131,28.0301,2969454
29,28.355,28.1344,4402238
30,28.29,28.359,7632217
48,28.46,28.37,4134751
49,28.57,28.46,5183874
50,28.55,28.58,3718055
51,28.59,28.55,2801235
52,28.525,28.59,2301237
53,28.46,28.53,2918017
54,28.29,28.47,6959232
72,27.85,27.75,8652062
73,27.83,27.85,9326902
74,27.64,27.84,12141457
75,27.5,27.63,9636002
76,27.41,27.5,9931367
77,27.41,27.4042,12058252
78,27.44,27.4072,11232370
96,27.67,27.57,5063020
97,28.005,27.67,8002227
98,28.015,28,4760287
99,27.97,28.0172,8522264
100,27.955,27.9759,6144897
101,28.08,27.95,5961190
102,28.255,28.08,8711190
192,28.63,28.58,4815547
193,28.695,28.63,5530728
194,28.845,28.69,3898570
195,28.94,28.85,2967224
196,28.95,28.94,3250242
197,28.895,28.95,5329089
198,28.87,28.89,10921293
216,29.315,29.14,4198249
217,29.565,29.32,8191676
218,29.51,29.565,4063139
219,29.5163,29.51,2623406
220,29.385,29.515,2121257
221,29.36,29.385,2835894
222,29.3,29.36,7208510
240,29.27,29.3,2799204
241,29.17,29.265,3069261
242,29.1465,29.17,4658334
243,29.065,29.15,3385930
244,29.06,29.064,2354380
245,29.045,29.06,3795831
246,29.08,29.042,5515952
264,28.92,28.94,6569911
265,29.0338,28.92,5170158
266,28.985,29.04,3878432
267,29.005,28.98,2130479
268,29.0439,29.005,1755299
269,29.06,29.045,2603898
270,29.01,29.06,7389153
336,29.33,29.25,3850865
337,29.315,29.33,6496574
338,29.405,29.315,3486354
339,29.34,29.4,5539330
340,29.38,29.335,2484671
341,29.44,29.38,5635323
342,29.39,29.4335,7471972
360,29.265,29.21,3972960
361,29.28,29.27,5374692
362,29.125,29.27,3926256
363,29.1685,29.125,2240166
364,29.13,29.1685,3094515
365,29.19,29.13,2833125
366,29.22,29.19,6201297
384,28.545,28.9,4997191
385,28.4865,28.54,7711605
386,28.57,28.485,4047840
387,28.49,28.575,5327050
388,28.5,28.5,3592222
389,28.92,28.5031,6136917
390,28.95,28.915,8401095
408,29.01,28.8,5062870
409,28.97,29.015,5927714
410,28.99,28.97,3952798
411,29.04,28.99,2538262
412,29.09,29.035,2653828
413,29.01,29.08,1790985
414,29.24,29.015,8887986
432,29.48,29.3,3540700
433,29.52,29.48,4943158
434,29.4687,29.52,2846829
435,29.53,29.465,2364864
436,29.43,29.53,2473199
437,29.36,29.42,3251650
438,29.39,29.365,6726384
504,29.49,29.44,2423887
505,29.491,29.48,2805207
506,29.505,29.49,2195914
507,29.49,29.505,1718782
508,29.52,29.49,2265234
509,29.27,29.5109,4301059
510,29.13,29.27,9090125
528,29.48,29.41,3185175
529,29.53,29.49,4295868
530,29.75,29.52,3176997
531,29.886,29.75,4203507
532,29.85,29.88,2880041
533,29.95,29.84,3926022
534,29.88,29.945,6866271
552,29.9,29.78,2753771
553,29.97,29.905,6879429
554,29.96,29.975,5614138
555,30.065,29.96,2948886
556,30.03,30.0625,3029414
557,30.09,30.035,3824235
558,30.17,30.0967,7027219
576,30.37,30.2,3467823
577,30.31,30.37,3887916
578,30.205,30.3137,4166953
579,30.202,30.205,2103020
580,30.24,30.205,2622862
581,30.25,30.245,2934734
582,30.2289,30.255,5598087
600,30.3149,30.22,3565168
601,30.4425,30.315,4193580
602,30.4265,30.45,4421411
603,30.44,30.43,3363352
604,30.565,30.44,4321307
605,30.44,30.565,3924502
606,30.45,30.45,5523190
