EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=3600
COLUMNS=DATE,CLOSE,OPEN,VOLUME
DATA=
EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=3600
COLUMNS=DATE,CLOSE,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1454943600,125.505,126,480370
1,124.65,125.48,666028
2,125.65,124.65,715957
3,125.7675,125.66,759226
4,125.12,125.76,581020
5,125.34,125.14,692578
6,127.05,125.33,1515957
24,126.54,126.12,504666
25,124.6,126.42,956911
26,124.74,124.61,542658
27,124.42,124.73,612317
28,124.58,124.42,472781
29,124.81,124.52,563521
30,124.03,124.85,1319984
48,124.14,125,521607
49,122.95,124.12,826272
50,122.63,122.95,576083
51,123.15,122.68,348650
52,122.18,123.1398,450197
53,121.22,122.2,679925
54,120.16,121.24,2077271
72,119.12,118.78,793653
73,118.46,119.0703,845726
74,118.28,118.4,716902
75,117.9125,118.2999,586796
76,117.575,117.92,607567
77,118.02,117.56,820304
78,117.83,118.03,1455490
96,118.87,119.26,391906
97,119.3,118.87,602590
98,120.31,119.31,591799
99,120.59,120.33,395591
100,120.315,120.59,340078
101,120.75,120.31,425584
102,121.03,120.74,1027344
192,121.81,121.83,392401
193,121.56,121.8,337115
194,122.6901,121.56,375078
195,122.69,122.7,264566
196,123,122.7,222000
197,122.68,122.97,311632
198,122.65,122.6853,739189
216,124.57,123.71,406026
217,125.63,124.57,782638
218,125.41,125.62,670877
219,126.35,125.3942,415557
220,126.0605,126.34,373247
221,126.16,126.06,326385
222,126.09,126.18,834022
240,132.85,130,2542325
241,133.23,132.85,1959865
242,132.83,133.37,887686
243,132.46,132.829,543588
244,132.34,132.46,569400
245,133.4901,132.33,550310
246,132.47,133.49,1378037
264,131.605,132.36,926103
265,131.97,131.56,583265
266,132.66,131.94,479260
267,133,132.68,321604
268,133.5301,132.99,424752
269,133.005,133.53,412458
270,133.09,133.01,752442
336,133.394,133.84,425879
337,132.69,133.41,725191
338,133.45,132.71,440497
339,133.4,133.43,388515
340,133.5,133.41,247417
341,133.0611,133.485,249275
342,133.76,133.07,818753
360,133.01,133.14,372896
361,133.01,133.02,551778
362,132.89,132.99,381287
363,132.6,132.87,269761
364,132.675,132.6,284459
365,132.45,132.7096,235741
366,132.39,132.45,589816
384,129.94,131.55,461436
385,130.82,129.94,634999
386,131.38,130.85,334182
387,131.31,131.36,282776
388,131.43,131.33,259662
389,132.15,131.46,360831
390,132.8,132.17,929304
408,131.57,133.29,409935
409,131.17,131.56,637051
410,132.23,131.17,371631
411,132.99,132.23,371655
412,133.637,132.98,248136
413,133.62,133.765,345349
414,134.51,133.63,1002836
432,133.065,134.51,719198
433,133.6,133.01,433923
434,132.55,133.61,398398
435,132.72,132.54,297650
436,132.2247,132.7101,450622
437,132.18,132.25,470550
438,132.01,132.18,780866
504,131.92,132,291146
505,132.49,131.92,366980
506,132.72,132.49,384509
507,132.34,132.6901,291872
508,132.13,132.34,262467
509,131.165,132.11,507736
510,131.02,131.16,749976
528,132.37,132.24,299392
529,133.72,132.42,496396
530,134.03,133.75,521055
531,134.32,134.02,323145
532,134.37,134.3,300803
533,134.39,134.37,364846
534,134.32,134.38,711235
552,133.76,133.7,270836
553,134.795,133.78,503411
554,136.08,134.83,769276
555,136.2527,136.07,441107
556,136.57,136.26,520632
557,136.84,136.53,433938
558,136.28,136.85,1133000
576,136.81,137.22,908222
577,137.09,136.84,897777
578,137.39,137.06,486206
579,136.9999,137.39,322727
580,136.98,136.97,319273
581,137.2,136.97,462573
582,137.82,137.25,746420
600,138.1616,137.535,333571
601,138.98,138.1612,421922
602,138.315,138.97,517370
603,138.23,138.32,366188
604,138.383,138.215,253519
605,137.36,138.4,450791
606,137.8,137.37,774250
