EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=3600
COLUMNS=DATE,CLOSE,OPEN,VOLUME
DATA=
EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=3600
COLUMNS=DATE,CLOSE,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1454943600,113.77,114.05,1312105
1,114.09,113.76,1868130
2,114.16,114.1,1017190
3,114.61,114.18,891066
4,113.73,114.59,730978
5,114.645,113.74,857361
6,116.02,114.63,1938195
24,116.98,115.54,803772
25,116.735,117.02,1223557
26,116.885,116.75,964112
27,116.38,116.87,859682
28,116.72,116.37,593414
29,117.16,116.735,749348
30,117.05,117.18,1356782
48,117.76,118.02,516332
49,117.57,117.75,811448
50,117.56,117.62,556363
51,117.77,117.58,677811
52,117.78,117.77,565641
53,117.88,117.78,600037
54,117.49,117.89,1303795
72,117.25,115.74,638929
73,117.12,117.29,816471
74,116.69,117.12,858287
75,117.11,116.69,727732
76,116.45,117.11,564251
77,116.62,116.43,1004245
78,116.67,116.63,1221936
96,117.48,116.72,687146
97,117.69,117.5,880881
98,117.79,117.69,683672
99,117.62,117.77,435498
100,117.69,117.62,408859
101,117.95,117.69,558343
102,117.6,117.94,1556919
192,118.62,118.42,763456
193,117.92,118.64,993650
194,118.35,117.9,622477
195,118.449,118.36,754928
196,118.52,118.43,540551
197,118.76,118.53,820150
198,119.06,118.77,1708548
216,118.16,119.18,1629695
217,117.43,118.2,1759564
218,117.59,117.44,1538851
219,118.21,117.59,778795
220,118.77,118.2,694826
221,119.05,118.79,963485
222,118.59,119.05,2051415
240,117.94,118.81,894153
241,117.17,117.95,1104272
242,118.175,117.145,760845
243,117.65,118.19,1022545
244,117.46,117.6226,800222
245,117.51,117.4501,958921
246,117.1,117.51,1618845
264,116.36,117,1141030
265,116.65,116.35,1014988
266,116.75,116.64,612343
267,116.41,116.765,500281
268,116.2801,116.42,652177
269,116.375,116.28,716842
270,116.46,116.38,1738034
336,118.01,117.33,936262
337,117.25,118,805932
338,117.8425,117.24,703939
339,117.89,117.85,525861
340,117.73,117.87,444117
341,117.39,117.7367,582987
342,117.63,117.39,1036337
360,118.05,117.35,500420
361,117.31,118.04,734524
362,117.83,117.3,389699
363,118.11,117.82,305263
364,117.24,118.11,528527
365,117.22,117.25,396128
366,116.92,117.22,1000321
384,116.3,116.32,578443
385,116.22,116.3,807595
386,116.63,116.24,505159
387,116.19,116.63,528823
388,116.28,116.2,343849
389,116.58,116.2864,517225
390,117.06,116.59,964883
408,117.385,117.43,609075
409,117.44,117.4,583022
410,118.07,117.42,460056
411,117.9919,118.08,450906
412,118.012,117.99,539233
413,117.77,117.77,395720
414,118.41,117.75,1086520
432,117.4999,117.98,563632
433,117.08,117.45,791753
434,116.6,117.06,544247
435,116.98,116.6,681710
436,117.27,116.99,425538
437,116.89,117.275,477581
438,117.04,116.9,768193
504,117.51,116.8,434689
505,117.42,117.48,478793
506,118.1,117.43,634512
507,117.94,118.11,347385
508,117.78,117.96,280097
509,117.49,117.79,441419
510,117.18,117.49,1446466
528,118.05,117.91,412277
529,118.28,118.1,747831
530,118.72,118.29,403555
531,119.02,118.72,388742
532,119.08,118.993,300502
533,119,119.0899,489054
534,118.82,119,847245
552,118.14,118.56,372805
553,117.89,118.12,554562
554,117.91,117.9,662184
555,117.91,117.92,342377
556,117.845,117.92,488374
557,118.07,117.85,463475
558,118.47,118.05,648562
576,116.35,117.48,1354334
577,116.11,116.36,1463197
578,115.97,116.1,1143765
579,115.63,115.975,1056015
580,116.12,115.65,790433
581,116.94,116.12,1113987
582,116.65,116.94,968419
600,116.91,116.72,578138
601,116.91,116.92,776750
602,116.99,116.94,732019
603,117.07,117,363340
604,117.24,117.07,432574
605,117.13,117.25,572220
606,117.15,117.13,1192140
