EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=3600
COLUMNS=DATE,CLOSE,OPEN,VOLUME
DATA=
EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=3600
COLUMNS=DATE,CLOSE,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1454943600,55.51,56.1,2767717
1,54.56,55.5,2679224
2,54.5554,54.56,2918178
3,54.88,54.555,1989839
4,54.35,54.8807,2153376
5,53.89,54.35,2295302
6,55.04,53.89,4667316
24,56.15,54.5,1435984
25,55.182,56.15,1886040
26,55.54,55.1801,1308760
27,55.54,55.53,735839
28,55.5542,55.53,880566
29,55.98,55.55,1170044
30,55.68,55.98,2370001
48,56.6638,56.54,814651
49,57.35,56.67,2163443
50,57.48,57.35,1571459
51,57.7,57.49,1081772
52,57.75,57.71,1012767
53,57.88,57.75,1733586
54,57.41,57.87,3530206
72,56.33,56.46,1318396
73,55.53,56.33,2209375
74,55.88,55.54,1355651
75,56.22,55.88,934181
76,55.86,56.22,986312
77,56.12,55.85,1320724
78,55.99,56.13,2487768
96,55.61,57.37,1071771
97,55.82,55.6,1764264
98,56.1,55.82,1336567
99,56.1,56.1,838685
100,56.153,56.11,747385
101,56.54,56.15,922224
102,56.41,56.5401,2095824
192,57.135,57.57,894295
193,57.32,57.15,1152243
194,57.46,57.31,812887
195,57.545,57.46,916791
196,57.66,57.55,655850
197,57.62,57.67,650271
198,57.77,57.6201,1570824
216,58.07,58.6,1002466
217,57.7432,58.07,1314363
218,57.74,57.74,1622237
219,58.175,57.741,1084289
220,58.05,58.175,984265
221,58.165,58.05,1328896
222,58.16,58.17,1821630
240,58.55,58.17,996088
241,58.45,58.54,1222507
242,58.66,58.52,1115554
243,58.545,58.6651,917311
244,58.6,58.54,771320
245,58.795,58.61,1077498
246,58.61,58.795,1778958
264,58.41,58.5,1290325
265,58.15,58.39,1149851
266,58.29,58.15,1584466
267,58.41,58.29,714855
268,58.69,58.41,815584
269,58.96,58.7,1139640
270,59.3,58.96,2207683
336,59.97,59.65,974429
337,60.09,59.98,1708264
338,60.11,60.09,785035
339,60.37,60.11,761685
340,60.39,60.38,1518579
341,60.2,60.38,1051927
342,60.17,60.21,2150376
360,60.46,60.26,768266
361,60.04,60.45,1062467
362,60.205,60.05,816243
363,60.43,60.2,537035
364,60.3,60.42,763194
365,60.15,60.29,822777
366,60.205,60.14,1877422
384,59.5701,59.74,1255483
385,59.5,59.59,1689010
386,59.57,59.51,1294836
387,59.6,59.57,765851
388,59.76,59.6,767722
389,60.16,59.77,1290403
390,60.4,60.165,2151868
408,60.73,60.68,822461
409,61.56,60.7169,1388790
410,61.58,61.56,814513
411,61.49,61.58,460484
412,62.05,61.48,1329534
413,62.0537,62.04,665982
414,62.38,62.06,1547130
432,63.48,62.64,1861324
433,63.05,63.465,1703917
434,62.66,63.04,1154913
435,62.81,62.66,718844
436,62.61,62.81,575546
437,62.48,62.6151,637441
438,62.59,62.49,1319821
504,62.34,62.46,523645
505,62.06,62.3201,1013909
506,62.03,62.07,705284
507,62.36,62.03,513816
508,62.21,62.3699,504958
509,61.94,62.21,693425
510,61.58,61.95,1509606
528,62.08,61.97,892430
529,62.06,62.1,1142983
530,62.425,62.065,744837
531,62.39,62.43,457806
532,62.68,62.38,618289
533,63.05,62.69,1048978
534,62.91,63.05,1397386
552,61.61,62.52,909163
553,62.15,61.62,1328939
554,61.86,62.15,1088848
555,62.16,61.85,684339
556,61.96,62.155,431357
557,61.95,61.9676,683120
558,62.2,61.96,1992262
576,61.61,62.05,561493
577,61.47,61.62,996984
578,61,61.46,807507
579,61.02,61.01,612712
580,61.02,61.025,1204875
581,61.12,61.02,895690
582,61.46,61.12,1877018
600,60.77,61.42,554834
601,60.65,60.76,1244924
602,60.9575,60.65,1180059
603,60.91,60.96,805144
604,61.35,60.91,729438
605,61.165,61.345,736654
606,61.25,61.17,1009945
