EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=3600
COLUMNS=DATE,CLOSE,OPEN,VOLUME
DATA=
EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=3600
COLUMNS=DATE,CLOSE,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1454943600,36.78,36.6,5709433
1,36.57,36.78,6570179
2,36.865,36.57,4922767
3,36.785,36.86,2822458
4,36.79,36.78,2502734
5,36.88,36.7972,3764935
6,37.11,36.88,9269466
24,36.505,36.7,4839880
25,36.31,36.5,7180061
26,36.415,36.309,4243642
27,36.6,36.42,3749408
28,36.565,36.59,2715446
29,36.65,36.57,3532922
30,36.67,36.65,5799621
48,36.4242,36.65,2747463
49,36.43,36.43,6053702
50,36.45,36.44,2974403
51,36.5876,36.46,2291582
52,36.5372,36.59,1894673
53,36.53,36.5309,3242949
54,36.43,36.5399,5419171
72,36.26,36.06,4834231
73,36.32,36.26,5678753
74,36.17,36.315,4454509
75,36.15,36.16,2870868
76,36.0559,36.151,3685390
77,36,36.05,7277702
78,36.21,36.01,9824424
96,36.13,36.35,2937414
97,36.25,36.12,3697143
98,36.39,36.25,2594422
99,36.35,36.39,1877272
100,36.41,36.355,2023976
101,36.425,36.4,2760422
102,36.46,36.42,6442483
192,36.36,36.68,3252133
193,36.405,36.36,3697961
194,36.43,36.41,2276735
195,36.575,36.435,2037299
196,36.47,36.575,2081894
197,36.5699,36.475,2239729
198,36.65,36.5625,5650368
216,36.655,36.75,2645456
217,36.65,36.6538,3642528
218,36.6731,36.65,3265144
219,36.695,36.68,2726529
220,36.7,36.695,2563883
221,36.675,36.7,2705526
222,36.63,36.675,5833177
240,36.72,36.62,1934230
241,36.8,36.725,3104925
242,36.9,36.8,2822963
243,36.9101,36.908,1898205
244,36.905,36.915,1885176
245,36.935,36.9025,1742303
246,36.99,36.935,5701713
264,36.81,36.9,3443759
265,36.78,36.81,2934405
266,36.769,36.78,2449676
267,36.7,36.77,1784019
268,36.705,36.7,1338843
269,36.535,36.7,2398358
270,36.58,36.54,6351838
336,36.725,36.74,2170961
337,36.79,36.725,3690199
338,36.8132,36.795,2327836
339,36.7,36.813,1609944
340,36.76,36.7,1515266
341,36.75,36.76,2560276
342,36.86,36.75,4075780
360,36.575,36.81,2434923
361,36.73,36.575,2404697
362,36.84,36.73,2300848
363,36.84,36.8325,1781919
364,36.705,36.835,1890453
365,36.7,36.7,1446359
366,36.74,36.7,4208411
384,36.72,36.7,2270938
385,36.78,36.719,2990244
386,36.92,36.78,3495029
387,36.96,36.92,1737236
388,36.96,36.96,2197382
389,37.04,36.96,2068518
390,37.09,37.04,5159602
408,37.355,37.1,2760196
409,37.385,37.35,3084938
410,37.35,37.38,2537851
411,37.375,37.35,1902223
412,37.49,37.3701,2136500
413,37.41,37.44,1666481
414,37.37,37.41,5808132
432,37.32,37.49,2366347
433,37.4,37.325,2735316
434,37.2199,37.39,2337433
435,37.31,37.21,2149545
436,37.15,37.31,1799321
437,37.085,37.14,2198809
438,37.12,37.09,5079583
504,37.225,37.12,1866696
505,37.25,37.22,2271136
506,37.38,37.2485,1858354
507,37.335,37.37,2142953
508,37.33,37.335,1800111
509,37.131,37.33,3550736
510,36.95,37.135,7627899
528,37.23,37.1,1799491
529,37.125,37.23,2556297
530,37.2741,37.12,1913534
531,37.3336,37.28,1775390
532,37.31,37.335,2035592
533,37.36,37.31,2201943
534,37.38,37.37,4373019
552,37.2265,37.22,2075248
553,37.345,37.22,2734073
554,37.405,37.35,2899081
555,37.495,37.409,1505834
556,37.58,37.4975,2532073
557,37.615,37.58,1968742
558,37.67,37.615,4896013
576,37.59,37.69,1783475
577,37.65,37.59,3314953
578,37.69,37.6485,2255832
579,37.95,37.69,3538955
580,37.9962,37.955,4623207
581,38,37.995,4236284
582,38,38,5222968
600,38.05,37.91,2461863
601,38.075,38.05,2692845
602,37.87,38.08,2296929
603,37.92,37.87,1994147
604,38.005,37.92,1636552
605,37.92,38.01,2691595
606,37.92,37.92,4064181
