EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=3600
COLUMNS=DATE,CLOSE,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1454943600,154.08,157.105,1567591
1,153.68,153.97,1248952
2,151.22,153.73,1077797
3,148.95,151.1873,909740
4,146.79,149.1,828414
5,147.79,146.83,505821
6,147.99,147.83,1594765
24,157.5,142.32,2208868
25,149.03,157.57,1712900
26,149.61,149.08,644382
27,148.805,149.62,641238
28,147.674,148.7875,653452
29,149.663,147.74,578750
30,148.25,149.57,891580
48,152.03,150.5,1100141
49,148.88,152.04,1216255
50,147.54,148.88,785763
51,148.17,147.38,561207
52,147.37,148.17,609303
53,147.09,147.37,645769
54,143.67,147.09,2167599
72,159.43,152,3193615
73,153.52,159.56,3173524
74,154.5,153.678,1727505
75,153.115,154.51,677409
76,152.838,153.07,684014
77,153.64,152.7727,985624
78,150.47,153.59,1724255
96,148.6546,155,1034449
97,146.78,148.68,2248570
98,148.4,146.84,967154
99,149.8,148.514,428666
100,147.46,149.7816,356857
101,149.64,147.62,451816
102,151.04,149.62,814774
192,159.587,158.7,1273002
193,157.37,159.3,820017
194,156.02,157.38,603407
195,155.458,155.86,339678
196,155.88,155.16,334865
197,155.15,155.91,496188
198,155.17,155.17,914000
216,159.06,159,675311
217,166.93,158.93,1687471
218,165.78,166.8,720925
219,167.14,165.889,473421
220,166.57,166.99,323351
221,168.6622,166.523,458266
222,168.68,168.78,719268
240,169.56,172.42,870688
241,169.07,169.72,677274
242,167.3701,169.15,538989
243,166.19,167.37,193507
244,165.2,166.1501,261229
245,168.24,165.2001,238958
246,166.77,168.3,417678
264,166.3,163.66,527960
265,163.93,166.47,429243
266,165.145,163.88,295772
267,166.4478,165.2024,191961
268,165.72,166.52,164599
269,165.14,165.8,184305
270,166.58,165.2,662995
336,174.87,170.12,1147861
337,176.42,174.7,828848
338,178.41,176.34,523047
339,176.21,178.41,407618
340,177.3,176.16,344022
341,176.85,177.23,401875
342,177.74,176.86,730866
360,181.2816,176.05,1121586
361,176.196,181.245,1082960
362,177.28,176.15,469439
363,179.615,177.26,451696
364,177.98,179.51,430313
365,178.53,177.93,279002
366,177.21,178.57,682655
384,171.83,172.75,988859
385,171.95,171.568,949877
386,174.6,171.86,559763
387,175.87,174.545,463243
388,176.255,175.82,356127
389,177.57,176.39,516345
390,179,177.54,734251
408,177.57,178.65,583731
409,177.62,177.46,589703
410,178.83,177.61,322334
411,179.79,178.52,245045
412,184.6125,179.84,623692
413,185.5655,184.06,980658
414,187.43,185.45,1060239
432,188.87,188.7,1092144
433,189.5,188.8065,1170749
434,188.16,189.435,650843
435,188.13,188.2999,497051
436,188.8896,188.0459,533270
437,189.42,188.95,437624
438,190.34,189.52,801772
504,193,192.4,818003
505,192.5399,193.18,623504
506,194.16,192.54,499426
507,194.75,194.06,265404
508,192.22,194.81,454183
509,190.86,192.29,331389
510,191.93,190.79,791356
528,192.96,194.25,426618
529,194.87,193.11,711834
530,193.5,194.77,433181
531,192.9005,193.558,390673
532,191.345,192.87,441367
533,185.55,191.37,1864035
534,186.35,185.5595,821446
552,182.81,183.73,798404
553,184.52,182.895,996374
554,184.635,184.61,452379
555,185.34,184.5,451686
556,187.37,185.38,452469
557,188.2149,187.41,392679
558,188.34,188.16,588258
576,187.0495,188.28,555314
577,188.85,186.95,771977
578,188.1076,188.59,284157
579,190.326,187.97,275629
580,194.11,190.33,672174
581,196.09,194.092,676901
582,195.74,196.15,1003822
600,198.22,198,1373505
601,200.2601,198.29,972954
602,202.08,200.4499,832438
603,203.9,201.91,664808
604,203.1,203.9,461908
605,200.351,203.06,726717
606,201.04,200,637968
EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=3600
COLUMNS=DATE,CLOSE,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1454943600,154.08,157.105,1567591
1,153.68,153.97,1248952
2,151.22,153.73,1077797
3,148.95,151.1873,909740
4,146.79,149.1,828414
5,147.79,146.83,505821
6,147.99,147.83,1594765
24,157.5,142.32,2208868
25,149.03,157.57,1712900
26,149.61,149.08,644382
27,148.805,149.62,641238
28,147.674,148.7875,653452
29,149.663,147.74,578750
30,148.25,149.57,891580
48,152.03,150.5,1100141
49,148.88,152.04,1216255
50,147.54,148.88,785763
51,148.17,147.38,561207
52,147.37,148.17,609303
53,147.09,147.37,645769
54,143.67,147.09,2167599
72,159.43,152,3193615
73,153.52,159.56,3173524
74,154.5,153.678,1727505
75,153.115,154.51,677409
76,152.838,153.07,684014
77,153.64,152.7727,985624
78,150.47,153.59,1724255
96,148.6546,155,1034449
97,146.78,148.68,2248570
98,148.4,146.84,967154
99,149.8,148.514,428666
100,147.46,149.7816,356857
101,149.64,147.62,451816
102,151.04,149.62,814774
192,159.587,158.7,1273002
193,157.37,159.3,820017
194,156.02,157.38,603407
195,155.458,155.86,339678
196,155.88,155.16,334865
197,155.15,155.91,496188
198,155.17,155.17,914000
216,159.06,159,675311
217,166.93,158.93,1687471
218,165.78,166.8,720925
219,167.14,165.889,473421
220,166.57,166.99,323351
221,168.6622,166.523,458266
222,168.68,168.78,719268
240,169.56,172.42,870688
241,169.07,169.72,677274
242,167.3701,169.15,538989
243,166.19,167.37,193507
244,165.2,166.1501,261229
245,168.24,165.2001,238958
246,166.77,168.3,417678
264,166.3,163.66,527960
265,163.93,166.47,429243
266,165.145,163.88,295772
267,166.4478,165.2024,191961
268,165.72,166.52,164599
269,165.14,165.8,184305
270,166.58,165.2,662995
336,174.87,170.12,1147861
337,176.42,174.7,828848
338,178.41,176.34,523047
339,176.21,178.41,407618
340,177.3,176.16,344022
341,176.85,177.23,401875
342,177.74,176.86,730866
360,181.2816,176.05,1121586
361,176.196,181.245,1082960
362,177.28,176.15,469439
363,179.615,177.26,451696
364,177.98,179.51,430313
365,178.53,177.93,279002
366,177.21,178.57,682655
384,171.83,172.75,988859
385,171.95,171.568,949877
386,174.6,171.86,559763
387,175.87,174.545,463243
388,176.255,175.82,356127
389,177.57,176.39,516345
390,179,177.54,734251
408,177.57,178.65,583731
409,177.62,177.46,589703
410,178.83,177.61,322334
411,179.79,178.52,245045
412,184.6125,179.84,623692
413,185.5655,184.06,980658
414,187.43,185.45,1060239
432,188.87,188.7,1092144
433,189.5,188.8065,1170749
434,188.16,189.435,650843
435,188.13,188.2999,497051
436,188.8896,188.0459,533270
437,189.42,188.95,437624
