EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=3600
COLUMNS=DATE,CLOSE,OPEN,VOLUME
DATA=
EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=3600
COLUMNS=DATE,CLOSE,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
a1454943600,15.13,15.51,3247403
1,15.125,15.1201,4468874
2,15.14,15.13,2658045
3,15.36,15.149,2189143
4,15.0001,15.35,2220966
5,14.83,15.005,2983290
6,14.89,14.83,5033269
24,15.25,14.62,3292781
25,14.63,15.25,3509057
26,14.75,14.639,4295212
27,14.59,14.75,2162189
28,14.49,14.585,3776324
29,14.61,14.499,3133836
30,14.395,14.62,4776954
48,14.856,14.55,3788779
49,14.81,14.86,4912992
50,14.87,14.81,2729768
51,15.2065,14.88,3209132
52,15.0121,15.201,2244367
53,15.02,15.0101,3566134
54,14.971,15.02,8753804
72,14.51,14.07,8805952
73,14.4,14.48,6951351
74,14.54,14.4,4795216
75,14.43,14.5435,2894073
76,14.35,14.44,2721066
77,14.46,14.35,3461807
78,14.32,14.47,5627507
96,14.9099,14.54,4102069
97,15.385,14.9,7026560
98,15.4699,15.385,6100954
99,15.675,15.4699,2955261
100,15.75,15.68,3941798
101,15.8,15.755,4229155
102,15.885,15.8,5235012
192,15.9161,16.09,4415243
193,16.04,15.92,2999880
194,16.234,16.03,1674566
195,16.205,16.2339,1453888
196,16.3535,16.201,1486859
197,16.33,16.36,1368739
198,16.36,16.335,2673588
216,16.99,16.47,3234126
217,17.2099,16.99,4781602
218,17.171,17.2,2398216
219,17.23,17.17,1586496
220,17.32,17.22,2052999
221,17.52,17.325,5151427
222,17.45,17.525,4959851
240,17.7199,18.1,5445232
241,17.77,17.7199,4224116
242,17.77,17.78,3557515
243,17.9078,17.775,4639951
244,18.0951,17.9,3188145
245,18.49,18.1,5399050
246,18.44,18.49,5847594
264,18.12,18.16,3124662
265,18.36,18.13,3941560
266,18.5691,18.3501,5213023
267,18.5865,18.569,2089728
268,18.4,18.585,2787886
269,18.24,18.39,1719533
270,18.32,18.24,3808839
336,18.49,18.62,2864402
337,18.15,18.495,6465434
338,18.1458,18.15,2615610
339,18.29,18.14,2863221
340,18.575,18.31,2594437
341,18.26,18.58,2539125
342,18.31,18.275,3321195
360,18.7936,18.56,4053775
361,18.4125,18.78,5994915
362,18.5725,18.41,2989317
363,18.62,18.57,2559818
364,18.4897,18.62,2100761
365,18.365,18.4865,2181412
366,18.32,18.36,2593327
384,17.3614,18,4746565
385,17.269,17.3686,4895596
386,17.56,17.265,2789826
387,17.67,17.55,3686701
388,17.78,17.67,2388638
389,17.81,17.79,2133737
390,18,17.81,3059391
408,17.5,17.93,3243647
409,17.55,17.51,3750492
410,17.533,17.549,2442440
411,17.38,17.534,1982473
412,17.67,17.39,1631877
413,17.54,17.6522,1799877
414,17.59,17.535,6049915
432,17.9101,17.72,3225406
433,17.95,17.92,3423629
434,17.94,17.95,1750802
435,17.8925,17.93,1458630
436,17.91,17.895,2172239
437,17.845,17.9185,1238541
438,17.941,17.845,2208503
504,18.27,17.96,2620097
505,18.441,18.28,2841203
506,18.35,18.445,1352185
507,18.3899,18.35,1514958
508,18.46,18.39,1687466
509,18.2,18.47,1974049
510,18.12,18.19,3802377
528,18.06,18.47,2029415
529,17.94,18.054,3399562
530,17.655,17.948,3908772
531,17.79,17.652,2597292
532,17.8401,17.7801,1758641
533,17.815,17.85,1567901
534,17.85,17.82,2742422
552,18.071,17.85,2039192
553,18.63,18.0899,4883774
554,18.4701,18.64,2791905
555,18.61,18.4739,1126982
556,18.5501,18.6024,1129363
557,18.42,18.56,2180357
558,18.55,18.43,2185075
576,19.169,18.53,3790993
577,19.35,19.1672,6003108
578,19.29,19.35,3152905
579,19.26,19.29,1708218
580,19.205,19.265,1680924
581,19.195,19.205,1576008
582,19.31,19.2,3955229
600,19.39,19.45,2910415
601,19.68,19.395,4091142
602,20.2101,19.68,6139499
603,19.845,20.21,4548923
604,19.74,19.84,2622264
605,19.1656,19.7399,4012508
606,19.36,19.17,4907071
